"Step","anthropic_dpo_gpt2_final - rewards_train/chosen","anthropic_dpo_gpt2_final - rewards_train/chosen__MIN","anthropic_dpo_gpt2_final - rewards_train/chosen__MAX"
"56","0.004358134688421463","0.004358134688421463","0.004358134688421463"
"112","-0.001511955254500208","-0.001511955254500208","-0.001511955254500208"
"168","0.0017215950386647212","0.0017215950386647212","0.0017215950386647212"
"224","-0.004946271673058315","-0.004946271673058315","-0.004946271673058315"
"280","0.001135211625296506","0.001135211625296506","0.001135211625296506"
"336","-0.0006481648379121907","-0.0006481648379121907","-0.0006481648379121907"
"392","0.0018711134244995264","0.0018711134244995264","0.0018711134244995264"
"448","0.0005776517403622469","0.0005776517403622469","0.0005776517403622469"
"504","-0.006178527866116686","-0.006178527866116686","-0.006178527866116686"
"560","0.0010670799213888433","0.0010670799213888433","0.0010670799213888433"
"616","0.0023116469540885496","0.0023116469540885496","0.0023116469540885496"
"672","0.005648405567323304","0.005648405567323304","0.005648405567323304"
"728","0.0031266957472932213","0.0031266957472932213","0.0031266957472932213"
"784","-0.004925507383328902","-0.004925507383328902","-0.004925507383328902"
"840","0.004999938134460535","0.004999938134460535","0.004999938134460535"
"896","0.003455143698677906","0.003455143698677906","0.003455143698677906"
"952","-0.0003374397271424338","-0.0003374397271424338","-0.0003374397271424338"
"1008","-0.0014023940020706505","-0.0014023940020706505","-0.0014023940020706505"
"1064","-0.0006985348433469577","-0.0006985348433469577","-0.0006985348433469577"
"1120","-0.005405161124751127","-0.005405161124751127","-0.005405161124751127"
"1176","-0.005502063120123542","-0.005502063120123542","-0.005502063120123542"
"1232","-0.00011356022264408239","-0.00011356022264408239","-0.00011356022264408239"
"1288","0.005854603815654021","0.005854603815654021","0.005854603815654021"
"1344","-0.0015970457595055147","-0.0015970457595055147","-0.0015970457595055147"
"1400","0.003983301068122576","0.003983301068122576","0.003983301068122576"
"1456","0.0028246791049847766","0.0028246791049847766","0.0028246791049847766"
"1512","-0.001024558142338113","-0.001024558142338113","-0.001024558142338113"
"1568","-0.0023803878660449604","-0.0023803878660449604","-0.0023803878660449604"
"1624","0.00008892819945079584","0.00008892819945079584","0.00008892819945079584"
"1680","0.007784005052296076","0.007784005052296076","0.007784005052296076"
"1736","-0.0021636665296682622","-0.0021636665296682622","-0.0021636665296682622"
"1792","-0.0062916164082101505","-0.0062916164082101505","-0.0062916164082101505"
"1848","0.0032704334862501128","0.0032704334862501128","0.0032704334862501128"
"1904","-0.005484018635191508","-0.005484018635191508","-0.005484018635191508"
"1960","0.0009361641380867999","0.0009361641380867999","0.0009361641380867999"
"2016","0.0022582968213100685","0.0022582968213100685","0.0022582968213100685"
"2072","-0.0030165975337392106","-0.0030165975337392106","-0.0030165975337392106"
"2128","0.003084410633012643","0.003084410633012643","0.003084410633012643"
"2184","-0.0058911920050377375","-0.0058911920050377375","-0.0058911920050377375"
"2240","-0.0056264680799055595","-0.0056264680799055595","-0.0056264680799055595"
"2296","-0.0025698416100870722","-0.0025698416100870722","-0.0025698416100870722"
"2352","0.00018889149820703702","0.00018889149820703702","0.00018889149820703702"
"2408","-0.00128487550182399","-0.00128487550182399","-0.00128487550182399"
"2464","-0.005085108811423804","-0.005085108811423804","-0.005085108811423804"
"2520","-0.0032921663393305303","-0.0032921663393305303","-0.0032921663393305303"
"2576","-0.0020121137602776193","-0.0020121137602776193","-0.0020121137602776193"
"2632","-0.007150108750768898","-0.007150108750768898","-0.007150108750768898"
"2688","-0.001194397640574607","-0.001194397640574607","-0.001194397640574607"
"2744","0.0024908702544053085","0.0024908702544053085","0.0024908702544053085"
"2800","-0.004604150817613117","-0.004604150817613117","-0.004604150817613117"
"2856","0.00013162902420541892","0.00013162902420541892","0.00013162902420541892"
"2912","-0.0008281936613154054","-0.0008281936613154054","-0.0008281936613154054"
"2968","-0.0034287621398713477","-0.0034287621398713477","-0.0034287621398713477"
"3024","-0.0060349191177616985","-0.0060349191177616985","-0.0060349191177616985"
"3080","-0.0004883270670082614","-0.0004883270670082614","-0.0004883270670082614"
"3136","0.004066475271732391","0.004066475271732391","0.004066475271732391"
"3192","-0.00012599801599814478","-0.00012599801599814478","-0.00012599801599814478"
"3248","0.005038073120886111","0.005038073120886111","0.005038073120886111"
"3304","-0.006276383067415736","-0.006276383067415736","-0.006276383067415736"
"3360","-0.0018545002239989117","-0.0018545002239989117","-0.0018545002239989117"
"3416","-0.005228556488721854","-0.005228556488721854","-0.005228556488721854"
"3472","-0.003458390664794327","-0.003458390664794327","-0.003458390664794327"
"3528","0.0006551721671712585","0.0006551721671712585","0.0006551721671712585"
"3584","-0.00014732355096687874","-0.00014732355096687874","-0.00014732355096687874"
"3640","-0.009151634015627982","-0.009151634015627982","-0.009151634015627982"
"3696","0.013985932052795155","0.013985932052795155","0.013985932052795155"
"3752","-0.00023406246039788434","-0.00023406246039788434","-0.00023406246039788434"
"3808","-0.015659910216224187","-0.015659910216224187","-0.015659910216224187"
"3864","0.006458677728611899","0.006458677728611899","0.006458677728611899"
"3920","-0.00015356172722628494","-0.00015356172722628494","-0.00015356172722628494"
"3976","-0.009509193565463647","-0.009509193565463647","-0.009509193565463647"
"4032","-0.01291538886531877","-0.01291538886531877","-0.01291538886531877"
"4088","-0.006343191693910437","-0.006343191693910437","-0.006343191693910437"
"4144","-0.004864689375911742","-0.004864689375911742","-0.004864689375911742"
"4200","-0.009335129659424032","-0.009335129659424032","-0.009335129659424032"
"4256","-0.0057362636337832855","-0.0057362636337832855","-0.0057362636337832855"
"4312","-0.006705947857274926","-0.006705947857274926","-0.006705947857274926"
"4368","-0.00682265123759862","-0.00682265123759862","-0.00682265123759862"
"4424","-0.0038107234466527493","-0.0038107234466527493","-0.0038107234466527493"
"4480","-0.01184417408118558","-0.01184417408118558","-0.01184417408118558"
"4536","-0.0014587439345632447","-0.0014587439345632447","-0.0014587439345632447"
"4592","-0.006526813531915347","-0.006526813531915347","-0.006526813531915347"
"4648","-0.008609953707491513","-0.008609953707491513","-0.008609953707491513"
"4704","0.007371706099850901","0.007371706099850901","0.007371706099850901"
"4760","-0.014029533627763158","-0.014029533627763158","-0.014029533627763158"
"4816","-0.02172520282086528","-0.02172520282086528","-0.02172520282086528"
"4872","-0.010090118676695662","-0.010090118676695662","-0.010090118676695662"
"4928","-0.013398231623189835","-0.013398231623189835","-0.013398231623189835"
"4984","-0.0017843435938023806","-0.0017843435938023806","-0.0017843435938023806"
"5040","-0.02307067757889551","-0.02307067757889551","-0.02307067757889551"
"5096","-0.005003395715903025","-0.005003395715903025","-0.005003395715903025"
"5152","-0.00733745133584307","-0.00733745133584307","-0.00733745133584307"
"5208","0.004585144536880155","0.004585144536880155","0.004585144536880155"
"5264","-0.0062750778840078665","-0.0062750778840078665","-0.0062750778840078665"
"5320","-0.004723451629009408","-0.004723451629009408","-0.004723451629009408"
"5376","-0.00900217140345679","-0.00900217140345679","-0.00900217140345679"
"5432","-0.004775368738288914","-0.004775368738288914","-0.004775368738288914"
"5488","-0.015091479018641015","-0.015091479018641015","-0.015091479018641015"
"5544","-0.004273247974197147","-0.004273247974197147","-0.004273247974197147"
"5600","-0.027438933512409374","-0.027438933512409374","-0.027438933512409374"
"5656","-0.01790688563293467","-0.01790688563293467","-0.01790688563293467"
"5712","-0.0033684524642012548","-0.0033684524642012548","-0.0033684524642012548"
"5768","-0.017013361438027157","-0.017013361438027157","-0.017013361438027157"
"5824","-0.04011132758932945","-0.04011132758932945","-0.04011132758932945"
"5880","-0.009712771171507484","-0.009712771171507484","-0.009712771171507484"
"5936","-0.026558250238243392","-0.026558250238243392","-0.026558250238243392"
"5992","-0.020664303701778408","-0.020664303701778408","-0.020664303701778408"
"6048","-0.03024755172858325","-0.03024755172858325","-0.03024755172858325"
"6104","-0.028158379243298743","-0.028158379243298743","-0.028158379243298743"
"6160","-0.03585712696561435","-0.03585712696561435","-0.03585712696561435"
"6216","0.0024641901363793295","0.0024641901363793295","0.0024641901363793295"
"6272","0.002165586306887235","0.002165586306887235","0.002165586306887235"
"6328","-0.04225735246776215","-0.04225735246776215","-0.04225735246776215"
"6384","-0.0195298894153287","-0.0195298894153287","-0.0195298894153287"
"6440","0.00587750801181149","0.00587750801181149","0.00587750801181149"
"6496","-0.020654960465132415","-0.020654960465132415","-0.020654960465132415"
"6552","-0.05547049973877923","-0.05547049973877923","-0.05547049973877923"
"6608","-0.040070438447097935","-0.040070438447097935","-0.040070438447097935"
"6664","-0.06691949715605006","-0.06691949715605006","-0.06691949715605006"
"6720","-0.03658692102665858","-0.03658692102665858","-0.03658692102665858"
"6776","-0.03402407303610744","-0.03402407303610744","-0.03402407303610744"
"6832","-0.03672423916820359","-0.03672423916820359","-0.03672423916820359"
"6888","-0.019681187781316112","-0.019681187781316112","-0.019681187781316112"
"6944","-0.017322627994872164","-0.017322627994872164","-0.017322627994872164"
"7000","-0.02147448064594452","-0.02147448064594452","-0.02147448064594452"
"7056","-0.03689525679404445","-0.03689525679404445","-0.03689525679404445"
